dateRep;day;month;year;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2018;continentExp
22/05/2020;22;5;2020;1735;47;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
23/05/2020;23;5;2020;1777;48;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
24/05/2020;24;5;2020;1815;49;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
25/05/2020;25;5;2020;1882;49;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
26/05/2020;26;5;2020;1927;49;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
27/05/2020;27;5;2020;2186;49;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
28/05/2020;28;5;2020;2349;50;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
29/05/2020;29;5;2020;2428;50;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
30/05/2020;30;5;2020;2476;52;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
31/05/2020;31;5;2020;2545;52;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
01/06/2020;1;6;2020;2565;52;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
02/06/2020;2;6;2020;2637;53;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
03/06/2020;3;6;2020;2707;54;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
04/06/2020;4;6;2020;2869;55;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
05/06/2020;5;6;2020;2936;55;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
06/06/2020;6;6;2020;3016;61;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
07/06/2020;7;6;2020;3108;61;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
08/06/2020;8;6;2020;3175;62;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
09/06/2020;9;6;2020;3255;62;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
10/06/2020;10;6;2020;3347;64;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
11/06/2020;11;6;2020;3472;64;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
12/06/2020;12;6;2020;3573;64;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
13/06/2020;13;6;2020;3763;64;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
14/06/2020;14;6;2020;3874;69;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
15/06/2020;15;6;2020;3959;69;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
16/06/2020;16;6;2020;4048;73;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
17/06/2020;17;6;2020;4238;73;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
18/06/2020;18;6;2020;4360;73;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
19/06/2020;19;6;2020;4548;80;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
20/06/2020;20;6;2020;4806;83;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
21/06/2020;21;6;2020;5030;84;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
22/06/2020;22;6;2020;5278;87;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
